Unnamed: 0,db_id,query,question,query_toks,query_toks_no_value,question_toks,context
6867,flight_4,"SELECT T1.country ,  T1.name ,  count(*) FROM airlines AS T1 JOIN routes AS T2 ON T1.alid  =  T2.alid GROUP BY T1.country ,  T1.name","For each country and airline name, how many routes are there?","['SELECT' 'T1.country' ',' 'T1.name' ',' 'count' '(' '*' ')' 'FROM'
 'airlines' 'AS' 'T1' 'JOIN' 'routes' 'AS' 'T2' 'ON' 'T1.alid' '='
 'T2.alid' 'GROUP' 'BY' 'T1.country' ',' 'T1.name']","['select' 't1' '.' 'country' ',' 't1' '.' 'name' ',' 'count' '(' '*' ')'
 'from' 'airlines' 'as' 't1' 'join' 'routes' 'as' 't2' 'on' 't1' '.'
 'alid' '=' 't2' '.' 'alid' 'group' 'by' 't1' '.' 'country' ',' 't1' '.'
 'name']","['For' 'each' 'country' 'and' 'airline' 'name' ',' 'how' 'many' 'routes'
 'are' 'there' '?']","['CREATE TABLE routes ( rid integer PRIMARY KEY, dst_apid integer, -- Id of destination airport dst_ap varchar(4), -- 3-letter (IATA) or 4-letter (ICAO) code of the destination airport src_apid bigint, -- Id of source airport src_ap varchar(4), -- 3-letter (IATA) or 4-letter (ICAO) code of the source airport alid bigint, -- Id of airline airline varchar(4), -- 2-letter (IATA) or 3-letter (ICAO) code of the airline codeshare text, -- ""Y"" if this flight is a codeshare (that is, not operated by -- Airline, but another carrier), empty otherwise FOREIGN KEY(dst_apid) REFERENCES airports(apid), FOREIGN KEY(src_apid) REFERENCES airports(apid), FOREIGN KEY(alid) REFERENCES airlines(alid) )', 'CREATE TABLE airports ( apid integer PRIMARY KEY, -- Id of the airport name text NOT NULL, -- Name of airport city text, -- Main city served by airport country text, -- Country or territory where airport is located x real, -- Latitude of airport: Decimal degrees, usually to six -- significant digits. Negative is South, positive is North y real, -- Longitude of airport: Decimal degrees, usually to six -- significant digits. Negative is West, positive is East elevation bigint, -- Altitude of airport measured in feets iata character varchar(3), -- 3-letter IATA code. empty or null if not assigned/unknown icao character varchar(4) -- 4-letter ICAO code. empty or null if not assigned )', 'CREATE TABLE airlines ( alid integer PRIMARY KEY, -- Id of the airline name text, -- Name of the airline iata varchar(2), -- 2-letter IATA code. empty or null if not assigned/unknown icao varchar(3), -- 3-letter ICAO code. empty or null if not assigned callsign text, -- Airline callsign country text, -- Country or territory where airline is incorporated active varchar(2) -- ""Y"" if the airline is or has until recently been operational, )']"
6387,cre_Docs_and_Epenses,"SELECT account_id ,  account_details FROM Accounts",Show all account ids and account details.,"['SELECT' 'account_id' ',' 'account_details' 'FROM' 'Accounts']","['select' 'account_id' ',' 'account_details' 'from' 'accounts']",['Show' 'all' 'account' 'ids' 'and' 'account' 'details' '.'],"['CREATE TABLE Ref_Document_Types ( Document_Type_Code CHAR(15) NOT NULL, Document_Type_Name VARCHAR(255) NOT NULL, Document_Type_Description VARCHAR(255) NOT NULL, PRIMARY KEY (Document_Type_Code) )', 'CREATE TABLE Ref_Budget_Codes ( Budget_Type_Code CHAR(15) NOT NULL, Budget_Type_Description VARCHAR(255) NOT NULL, PRIMARY KEY (Budget_Type_Code) )', 'CREATE TABLE Projects ( Project_ID INTEGER NOT NULL, Project_Details VARCHAR(255), PRIMARY KEY (Project_ID) )', 'CREATE TABLE Documents ( Document_ID INTEGER NOT NULL, Document_Type_Code CHAR(15) NOT NULL, Project_ID INTEGER NOT NULL, Document_Date DATETIME, Document_Name VARCHAR(255), Document_Description VARCHAR(255), Other_Details VARCHAR(255), PRIMARY KEY (Document_ID), FOREIGN KEY (Document_Type_Code) REFERENCES Ref_Document_Types (Document_Type_Code), FOREIGN KEY (Project_ID) REFERENCES Projects (Project_ID) )', 'CREATE TABLE Statements ( Statement_ID INTEGER NOT NULL, Statement_Details VARCHAR(255), PRIMARY KEY (Statement_ID), FOREIGN KEY (Statement_ID) REFERENCES Documents (Document_ID) )', 'CREATE TABLE Documents_with_Expenses ( Document_ID INTEGER NOT NULL, Budget_Type_Code CHAR(15) NOT NULL, Document_Details VARCHAR(255), PRIMARY KEY (Document_ID), FOREIGN KEY (Budget_Type_Code) REFERENCES Ref_Budget_Codes (Budget_Type_Code), FOREIGN KEY (Document_ID) REFERENCES Documents (Document_ID) )', 'CREATE TABLE Accounts ( Account_ID INTEGER NOT NULL, Statement_ID INTEGER NOT NULL, Account_Details VARCHAR(255), PRIMARY KEY (Account_ID), FOREIGN KEY (Statement_ID) REFERENCES Statements (Statement_ID) )']"
3245,college_1,SELECT T3.stu_fname FROM CLASS AS T1 JOIN enroll AS T2 ON T1.class_code  =  T2.class_code JOIN student AS T3 ON T2.stu_num  =  T3.stu_num WHERE T1.crs_code  =  'ACCT-211' AND T2.enroll_grade  =  'C',What is the first name of students enrolled in class ACCT-211 and got grade C?,"['SELECT' 'T3.stu_fname' 'FROM' 'CLASS' 'AS' 'T1' 'JOIN' 'enroll' 'AS'
 'T2' 'ON' 'T1.class_code' '=' 'T2.class_code' 'JOIN' 'student' 'AS' 'T3'
 'ON' 'T2.stu_num' '=' 'T3.stu_num' 'WHERE' 'T1.crs_code' '=' ""'ACCT-211""
 ""'"" 'AND' 'T2.enroll_grade' '=' ""'C"" ""'""]","['select' 't3' '.' 'stu_fname' 'from' 'class' 'as' 't1' 'join' 'enroll'
 'as' 't2' 'on' 't1' '.' 'class_code' '=' 't2' '.' 'class_code' 'join'
 'student' 'as' 't3' 'on' 't2' '.' 'stu_num' '=' 't3' '.' 'stu_num'
 'where' 't1' '.' 'crs_code' '=' 'value' 'and' 't2' '.' 'enroll_grade' '='
 'value']","['What' 'is' 'the' 'first' 'name' 'of' 'students' 'enrolled' 'in' 'class'
 'ACCT-211' 'and' 'got' 'grade' 'C' '?']","['CREATE TABLE CLASS ( CLASS_CODE varchar(5) PRIMARY KEY, CRS_CODE varchar(10), CLASS_SECTION varchar(2), CLASS_TIME varchar(20), CLASS_ROOM varchar(8), PROF_NUM int, FOREIGN KEY (CRS_CODE) REFERENCES COURSE(CRS_CODE) FOREIGN KEY (PROF_NUM) REFERENCES EMPLOYEE(EMP_NUM) )', 'CREATE TABLE COURSE ( CRS_CODE varchar(10) PRIMARY KEY, DEPT_CODE varchar(10), CRS_DESCRIPTION varchar(35), CRS_CREDIT float(8), FOREIGN KEY (DEPT_CODE) REFERENCES DEPARTMENT(DEPT_CODE) )', 'CREATE TABLE DEPARTMENT ( DEPT_CODE varchar(10) PRIMARY KEY, DEPT_NAME varchar(30), SCHOOL_CODE varchar(8), EMP_NUM int, DEPT_ADDRESS varchar(20), DEPT_EXTENSION varchar(4), FOREIGN KEY (EMP_NUM) REFERENCES EMPLOYEE(EMP_NUM) )', 'CREATE TABLE EMPLOYEE ( EMP_NUM int PRIMARY KEY, EMP_LNAME varchar(15), EMP_FNAME varchar(12), EMP_INITIAL varchar(1), EMP_JOBCODE varchar(5), EMP_HIREDATE datetime, EMP_DOB datetime )', 'CREATE TABLE ENROLL ( CLASS_CODE varchar(5), STU_NUM int, ENROLL_GRADE varchar(50), FOREIGN KEY (CLASS_CODE) REFERENCES CLASS(CLASS_CODE) FOREIGN KEY (STU_NUM) REFERENCES STUDENT(STU_NUM) )', 'CREATE TABLE PROFESSOR ( EMP_NUM int, DEPT_CODE varchar(10), PROF_OFFICE varchar(50), PROF_EXTENSION varchar(4), PROF_HIGH_DEGREE varchar(5), FOREIGN KEY (EMP_NUM) REFERENCES EMPLOYEE(EMP_NUM), FOREIGN KEY (DEPT_CODE) REFERENCES DEPARTMENT(DEPT_CODE) )', 'CREATE TABLE STUDENT ( STU_NUM int PRIMARY KEY, STU_LNAME varchar(15), STU_FNAME varchar(15), STU_INIT varchar(1), STU_DOB datetime, STU_HRS int, STU_CLASS varchar(2), STU_GPA float(8), STU_TRANSFER numeric, DEPT_CODE varchar(18), STU_PHONE varchar(4), PROF_NUM int, FOREIGN KEY (DEPT_CODE) REFERENCES DEPARTMENT(DEPT_CODE) )']"
2064,party_people,SELECT party_name FROM party WHERE party_id NOT IN (SELECT party_id FROM Member),What are the names of parties that have no members?,"['SELECT' 'party_name' 'FROM' 'party' 'WHERE' 'party_id' 'NOT' 'IN' '('
 'SELECT' 'party_id' 'FROM' 'Member' ')']","['select' 'party_name' 'from' 'party' 'where' 'party_id' 'not' 'in' '('
 'select' 'party_id' 'from' 'member' ')']","['What' 'are' 'the' 'names' 'of' 'parties' 'that' 'have' 'no' 'members'
 '?']","['CREATE TABLE ""region"" ( ""Region_ID"" int, ""Region_name"" text, ""Date"" text, ""Label"" text, ""Format"" text, ""Catalogue"" text, PRIMARY KEY (""Region_ID"") )', 'CREATE TABLE ""party"" ( ""Party_ID"" int, ""Minister"" text, ""Took_office"" text, ""Left_office"" text, ""Region_ID"" int, ""Party_name"" text, PRIMARY KEY (""Party_ID""), FOREIGN KEY (`Region_ID`) REFERENCES `region`(`Region_ID`) )', 'CREATE TABLE ""member"" ( ""Member_ID"" int, ""Member_Name"" text, ""Party_ID"" text, ""In_office"" text, PRIMARY KEY (""Member_ID""), FOREIGN KEY (`Party_ID`) REFERENCES `party`(`Party_ID`) )', 'CREATE TABLE ""party_events"" ( ""Event_ID"" int, ""Event_Name"" text, ""Party_ID"" int, ""Member_in_charge_ID"" int, PRIMARY KEY (""Event_ID""), FOREIGN KEY (`Party_ID`) REFERENCES `party`(`Party_ID`), FOREIGN KEY (`Member_in_charge_ID`) REFERENCES `member`(`Member_ID`) )']"
6376,flight_company,SELECT DISTINCT T2.pilot FROM airport AS T1 JOIN flight AS T2 ON T1.id  =  T2.airport_id WHERE T1.country  =  'United States' OR T1.name  =  'Billund Airport',What are the different pilot names who had piloted a flight in the country 'United States' or in the airport named 'Billund Airport'?,"['SELECT' 'DISTINCT' 'T2.pilot' 'FROM' 'airport' 'AS' 'T1' 'JOIN' 'flight'
 'AS' 'T2' 'ON' 'T1.id' '=' 'T2.airport_id' 'WHERE' 'T1.country' '='
 ""'United"" 'States' ""'"" 'OR' 'T1.name' '=' ""'Billund"" 'Airport' ""'""]","['select' 'distinct' 't2' '.' 'pilot' 'from' 'airport' 'as' 't1' 'join'
 'flight' 'as' 't2' 'on' 't1' '.' 'id' '=' 't2' '.' 'airport_id' 'where'
 't1' '.' 'country' '=' 'value' 'or' 't1' '.' 'name' '=' 'value']","['What' 'are' 'the' 'different' 'pilot' 'names' 'who' 'had' 'piloted' 'a'
 'flight' 'in' 'the' 'country' ""'United"" 'States' ""'"" 'or' 'in' 'the'
 'airport' 'named' ""'Billund"" 'Airport' ""'"" '?']","['CREATE TABLE ""airport"" ( ""id"" int, ""City"" text, ""Country"" text, ""IATA"" text, ""ICAO"" text, ""name"" text, primary key(""id"") )', 'CREATE TABLE ""operate_company"" ( ""id"" int, ""name"" text, ""Type"" text, ""Principal_activities"" text, ""Incorporated_in"" text, ""Group_Equity_Shareholding"" real, primary key (""id"") )', 'CREATE TABLE ""flight"" ( ""id"" int, ""Vehicle_Flight_number"" text, ""Date"" text, ""Pilot"" text, ""Velocity"" real, ""Altitude"" real, ""airport_id"" int, ""company_id"" int, primary key (""id""), foreign key (""airport_id"") references `airport`(""id""), foreign key (""company_id"") references `operate_company`(""id"") )']"
4466,network_2,"SELECT DISTINCT T2.name ,  T2.friend ,  T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.friend WHERE T1.age  >  (SELECT avg(age) FROM person)",Who has friends that are older than the average age? Print their friends and their ages as well,"['SELECT' 'DISTINCT' 'T2.name' ',' 'T2.friend' ',' 'T1.age' 'FROM'
 'Person' 'AS' 'T1' 'JOIN' 'PersonFriend' 'AS' 'T2' 'ON' 'T1.name' '='
 'T2.friend' 'WHERE' 'T1.age' '>' '(' 'SELECT' 'avg' '(' 'age' ')' 'FROM'
 'person' ')']","['select' 'distinct' 't2' '.' 'name' ',' 't2' '.' 'friend' ',' 't1' '.'
 'age' 'from' 'person' 'as' 't1' 'join' 'personfriend' 'as' 't2' 'on' 't1'
 '.' 'name' '=' 't2' '.' 'friend' 'where' 't1' '.' 'age' '>' '(' 'select'
 'avg' '(' 'age' ')' 'from' 'person' ')']","['Who' 'has' 'friends' 'that' 'are' 'older' 'than' 'the' 'average' 'age'
 '?' 'Print' 'their' 'friends' 'and' 'their' 'ages' 'as' 'well']","['CREATE TABLE Person ( name varchar(20) PRIMARY KEY, age INTEGER, city TEXT, gender TEXT, job TEXT )', 'CREATE TABLE PersonFriend ( name varchar(20), friend varchar(20), year INTEGER, FOREIGN KEY (name) REFERENCES Person(name), FOREIGN KEY (friend) REFERENCES Person(name) )']"
352,flight_1,"SELECT name ,  distance FROM Aircraft WHERE aid  =  12",What is the name and distance for the aircraft that has an id of 12?,"['SELECT' 'name' ',' 'distance' 'FROM' 'Aircraft' 'WHERE' 'aid' '=' '12']","['select' 'name' ',' 'distance' 'from' 'aircraft' 'where' 'aid' '='
 'value']","['What' 'is' 'the' 'name' 'and' 'distance' 'for' 'the' 'aircraft' 'that'
 'has' 'an' 'id' 'of' '12' '?']","['CREATE TABLE flight( flno number(4,0) primary key, origin varchar2(20), destination varchar2(20), distance number(6,0), departure_date date, arrival_date date, price number(7,2), aid number(9,0), foreign key(""aid"") references `aircraft`(""aid""))', 'CREATE TABLE aircraft( aid number(9,0) primary key, name varchar2(30), distance number(6,0))', 'CREATE TABLE employee( eid number(9,0) primary key, name varchar2(30), salary number(10,2))', 'CREATE TABLE certificate( eid number(9,0), aid number(9,0), primary key(eid,aid), foreign key(""eid"") references `employee`(""eid""), foreign key(""aid"") references `aircraft`(""aid""))']"
4540,document_management,"SELECT count(*) ,  role_code FROM users GROUP BY role_code","What are the different role codes for users, and how many users have each?","['SELECT' 'count' '(' '*' ')' ',' 'role_code' 'FROM' 'users' 'GROUP' 'BY'
 'role_code']","['select' 'count' '(' '*' ')' ',' 'role_code' 'from' 'users' 'group' 'by'
 'role_code']","['What' 'are' 'the' 'different' 'role' 'codes' 'for' 'users' ',' 'and'
 'how' 'many' 'users' 'have' 'each' '?']","['CREATE TABLE `Roles` ( `role_code` VARCHAR(15) PRIMARY KEY, `role_description` VARCHAR(80) )', 'CREATE TABLE `Users` ( `user_id` INTEGER PRIMARY KEY, `role_code` VARCHAR(15) NOT NULL, `user_name` VARCHAR(40), `user_login` VARCHAR(40), `password` VARCHAR(40), FOREIGN KEY (`role_code` ) REFERENCES `Roles`(`role_code` ) )', 'CREATE TABLE `Document_Structures` ( `document_structure_code` VARCHAR(15) PRIMARY KEY, `parent_document_structure_code` VARCHAR(15), `document_structure_description` VARCHAR(80) )', 'CREATE TABLE `Functional_Areas` ( `functional_area_code` VARCHAR(15) PRIMARY KEY, `parent_functional_area_code` VARCHAR(15), `functional_area_description` VARCHAR(80) NOT NULL )', 'CREATE TABLE `Images` ( `image_id` INTEGER PRIMARY KEY, `image_alt_text` VARCHAR(80), `image_name` VARCHAR(40), `image_url` VARCHAR(255) )', 'CREATE TABLE `Documents` ( `document_code` VARCHAR(15) PRIMARY KEY, `document_structure_code` VARCHAR(15) NOT NULL, `document_type_code` VARCHAR(15) NOT NULL, `access_count` INTEGER, `document_name` VARCHAR(80), FOREIGN KEY (`document_structure_code` ) REFERENCES `Document_Structures`(`document_structure_code` ) )', 'CREATE TABLE `Document_Functional_Areas` ( `document_code` VARCHAR(15) NOT NULL, `functional_area_code` VARCHAR(15) NOT NULL, FOREIGN KEY (`document_code` ) REFERENCES `Documents`(`document_code` ), FOREIGN KEY (`functional_area_code` ) REFERENCES `Functional_Areas`(`functional_area_code` ) )', 'CREATE TABLE `Document_Sections` ( `section_id` INTEGER PRIMARY KEY, `document_code` VARCHAR(15) NOT NULL, `section_sequence` INTEGER, `section_code` VARCHAR(20), `section_title` VARCHAR(80), FOREIGN KEY (`document_code` ) REFERENCES `Documents`(`document_code` ) )', 'CREATE TABLE `Document_Sections_Images` ( `section_id` INTEGER NOT NULL, `image_id` INTEGER NOT NULL, PRIMARY KEY (`section_id`,`image_id`), FOREIGN KEY (`section_id` ) REFERENCES `Document_Sections`(`section_id` ), FOREIGN KEY (`image_id` ) REFERENCES `Images`(`image_id` ) )']"
4782,department_store,"SELECT max(product_price) ,  min(product_price) ,  product_type_code FROM products GROUP BY product_type_code ORDER BY product_type_code","Give the maximum and minimum product prices for each product type, grouped and ordered by product type.","['SELECT' 'max' '(' 'product_price' ')' ',' 'min' '(' 'product_price' ')'
 ',' 'product_type_code' 'FROM' 'products' 'GROUP' 'BY'
 'product_type_code' 'ORDER' 'BY' 'product_type_code']","['select' 'max' '(' 'product_price' ')' ',' 'min' '(' 'product_price' ')'
 ',' 'product_type_code' 'from' 'products' 'group' 'by'
 'product_type_code' 'order' 'by' 'product_type_code']","['Give' 'the' 'maximum' 'and' 'minimum' 'product' 'prices' 'for' 'each'
 'product' 'type' ',' 'grouped' 'and' 'ordered' 'by' 'product' 'type' '.']","['CREATE TABLE `Addresses` ( `address_id` INTEGER PRIMARY KEY, `address_details` VARCHAR(255) )', 'CREATE TABLE `Staff` ( `staff_id` INTEGER PRIMARY KEY, `staff_gender` VARCHAR(1), `staff_name` VARCHAR(80) )', 'CREATE TABLE `Suppliers` ( `supplier_id` INTEGER PRIMARY KEY, `supplier_name` VARCHAR(80), `supplier_phone` VARCHAR(80) )', 'CREATE TABLE `Department_Store_Chain` ( `dept_store_chain_id` INTEGER PRIMARY KEY, `dept_store_chain_name` VARCHAR(80) )', 'CREATE TABLE `Customers` ( `customer_id` INTEGER PRIMARY KEY, `payment_method_code` VARCHAR(10) NOT NULL, `customer_code` VARCHAR(20), `customer_name` VARCHAR(80), `customer_address` VARCHAR(255), `customer_phone` VARCHAR(80), `customer_email` VARCHAR(80) )', 'CREATE TABLE `Products` ( `product_id` INTEGER PRIMARY KEY, `product_type_code` VARCHAR(10) NOT NULL, `product_name` VARCHAR(80), `product_price` DECIMAL(19,4) )', 'CREATE TABLE `Supplier_Addresses` ( `supplier_id` INTEGER NOT NULL, `address_id` INTEGER NOT NULL, `date_from` DATETIME NOT NULL, `date_to` DATETIME, PRIMARY KEY (`supplier_id`, `address_id`), FOREIGN KEY (`address_id` ) REFERENCES `Addresses`(`address_id` ), FOREIGN KEY (`supplier_id` ) REFERENCES `Suppliers`(`supplier_id` ) )', 'CREATE TABLE `Customer_Addresses` ( `customer_id` INTEGER NOT NULL, `address_id` INTEGER NOT NULL, `date_from` DATETIME NOT NULL, `date_to` DATETIME, PRIMARY KEY (`customer_id`, `address_id`), FOREIGN KEY (`address_id` ) REFERENCES `Addresses`(`address_id` ), FOREIGN KEY (`customer_id` ) REFERENCES `Customers`(`customer_id` ) )', 'CREATE TABLE `Customer_Orders` ( `order_id` INTEGER PRIMARY KEY, `customer_id` INTEGER NOT NULL, `order_status_code` VARCHAR(10) NOT NULL, `order_date` DATETIME NOT NULL, FOREIGN KEY (`customer_id` ) REFERENCES `Customers`(`customer_id` ) )', 'CREATE TABLE `Department_Stores` ( `dept_store_id` INTEGER PRIMARY KEY, `dept_store_chain_id` INTEGER, `store_name` VARCHAR(80), `store_address` VARCHAR(255), `store_phone` VARCHAR(80), `store_email` VARCHAR(80), FOREIGN KEY (`dept_store_chain_id` ) REFERENCES `Department_Store_Chain`(`dept_store_chain_id` ) )', 'CREATE TABLE `Departments` ( `department_id` INTEGER PRIMARY KEY, `dept_store_id` INTEGER NOT NULL, `department_name` VARCHAR(80), FOREIGN KEY (`dept_store_id` ) REFERENCES `Department_Stores`(`dept_store_id` ) )', 'CREATE TABLE `Order_Items` ( `order_item_id` INTEGER PRIMARY KEY, `order_id` INTEGER NOT NULL, `product_id` INTEGER NOT NULL, FOREIGN KEY (`order_id` ) REFERENCES `Customer_Orders`(`order_id` ), FOREIGN KEY (`product_id` ) REFERENCES `Products`(`product_id` ) )', 'CREATE TABLE `Product_Suppliers` ( `product_id` INTEGER NOT NULL, `supplier_id` INTEGER NOT NULL, `date_supplied_from` DATETIME NOT NULL, `date_supplied_to` DATETIME, `total_amount_purchased` VARCHAR(80), `total_value_purchased` DECIMAL(19,4), PRIMARY KEY (`product_id`, `supplier_id`), FOREIGN KEY (`supplier_id` ) REFERENCES `Suppliers`(`supplier_id` ), FOREIGN KEY (`product_id` ) REFERENCES `Products`(`product_id` ) )', 'CREATE TABLE `Staff_Department_Assignments` ( `staff_id` INTEGER NOT NULL, `department_id` INTEGER NOT NULL, `date_assigned_from` DATETIME NOT NULL, `job_title_code` VARCHAR(10) NOT NULL, `date_assigned_to` DATETIME, PRIMARY KEY (`staff_id`, `department_id`), FOREIGN KEY (`department_id` ) REFERENCES `Departments`(`department_id` ), FOREIGN KEY (`staff_id` ) REFERENCES `Staff`(`staff_id` ) )']"
4245,cre_Doc_Tracking_DB,SELECT DISTINCT Destroyed_by_Employee_ID FROM Documents_to_be_destroyed,What are the ids of all the employees who have destroyed documents?,"['SELECT' 'DISTINCT' 'Destroyed_by_Employee_ID' 'FROM'
 'Documents_to_be_destroyed']","['select' 'distinct' 'destroyed_by_employee_id' 'from'
 'documents_to_be_destroyed']","['What' 'are' 'the' 'ids' 'of' 'all' 'the' 'employees' 'who' 'have'
 'destroyed' 'documents' '?']","['CREATE TABLE Ref_Document_Types ( Document_Type_Code CHAR(15) NOT NULL, Document_Type_Name VARCHAR(255) NOT NULL, Document_Type_Description VARCHAR(255) NOT NULL, PRIMARY KEY (Document_Type_Code) )', 'CREATE TABLE Ref_Calendar ( Calendar_Date DATETIME NOT NULL, Day_Number INTEGER, PRIMARY KEY (Calendar_Date) )', 'CREATE TABLE Ref_Locations ( Location_Code CHAR(15) NOT NULL, Location_Name VARCHAR(255) NOT NULL, Location_Description VARCHAR(255) NOT NULL, PRIMARY KEY (Location_Code) )', 'CREATE TABLE Roles ( Role_Code CHAR(15) NOT NULL, Role_Name VARCHAR(255), Role_Description VARCHAR(255), PRIMARY KEY (Role_Code) )', 'CREATE TABLE All_Documents ( Document_ID INTEGER NOT NULL, Date_Stored DATETIME, Document_Type_Code CHAR(15) NOT NULL, Document_Name CHAR(255), Document_Description CHAR(255), Other_Details VARCHAR(255), PRIMARY KEY (Document_ID), FOREIGN KEY (Document_Type_Code) REFERENCES Ref_Document_Types (Document_Type_Code), FOREIGN KEY (Date_Stored) REFERENCES Ref_Calendar (Calendar_Date) )', 'CREATE TABLE Employees ( Employee_ID INTEGER NOT NULL, Role_Code CHAR(15) NOT NULL, Employee_Name VARCHAR(255), Gender_MFU CHAR(1) NOT NULL, Date_of_Birth DATETIME NOT NULL, Other_Details VARCHAR(255), PRIMARY KEY (Employee_ID), FOREIGN KEY (Role_Code) REFERENCES Roles (Role_Code) )', 'CREATE TABLE Document_Locations ( Document_ID INTEGER NOT NULL, Location_Code CHAR(15) NOT NULL, Date_in_Location_From DATETIME NOT NULL, Date_in_Locaton_To DATETIME, PRIMARY KEY (Document_ID, Location_Code, Date_in_Location_From), FOREIGN KEY (Location_Code) REFERENCES Ref_Locations (Location_Code), FOREIGN KEY (Date_in_Location_From) REFERENCES Ref_Calendar (Calendar_Date), FOREIGN KEY (Date_in_Locaton_To) REFERENCES Ref_Calendar (Calendar_Date), FOREIGN KEY (Document_ID) REFERENCES All_Documents (Document_ID) )', 'CREATE TABLE Documents_to_be_Destroyed ( Document_ID INTEGER NOT NULL, Destruction_Authorised_by_Employee_ID INTEGER, Destroyed_by_Employee_ID INTEGER, Planned_Destruction_Date DATETIME, Actual_Destruction_Date DATETIME, Other_Details VARCHAR(255), PRIMARY KEY (Document_ID), FOREIGN KEY (Destroyed_by_Employee_ID) REFERENCES Employees (Employee_ID), FOREIGN KEY (Destruction_Authorised_by_Employee_ID) REFERENCES Employees (Employee_ID), FOREIGN KEY (Planned_Destruction_Date) REFERENCES Ref_Calendar (Calendar_Date), FOREIGN KEY (Actual_Destruction_Date) REFERENCES Ref_Calendar (Calendar_Date), FOREIGN KEY (Document_ID) REFERENCES All_Documents (Document_ID) )']"
2271,entrepreneur,SELECT Name FROM People ORDER BY Weight ASC,What are the names of people in ascending order of weight?,['SELECT' 'Name' 'FROM' 'People' 'ORDER' 'BY' 'Weight' 'ASC'],['select' 'name' 'from' 'people' 'order' 'by' 'weight' 'asc'],"['What' 'are' 'the' 'names' 'of' 'people' 'in' 'ascending' 'order' 'of'
 'weight' '?']","['CREATE TABLE ""entrepreneur"" ( ""Entrepreneur_ID"" int, ""People_ID"" int, ""Company"" text, ""Money_Requested"" real, ""Investor"" text, PRIMARY KEY (""Entrepreneur_ID""), FOREIGN KEY (""People_ID"") REFERENCES ""people""(""People_ID"") )', 'CREATE TABLE ""people"" ( ""People_ID"" int, ""Name"" text, ""Height"" real, ""Weight"" real, ""Date_of_Birth"" text, PRIMARY KEY (""People_ID"") )']"
1494,debate,"SELECT Date ,  Venue FROM debate",What are the date and venue of each debate?,"['SELECT' 'Date' ',' 'Venue' 'FROM' 'debate']","['select' 'date' ',' 'venue' 'from' 'debate']",['What' 'are' 'the' 'date' 'and' 'venue' 'of' 'each' 'debate' '?'],"['CREATE TABLE ""people"" ( ""People_ID"" int, ""District"" text, ""Name"" text, ""Party"" text, ""Age"" int, PRIMARY KEY (""People_ID"") )', 'CREATE TABLE ""debate"" ( ""Debate_ID"" int, ""Date"" text, ""Venue"" text, ""Num_of_Audience"" int, PRIMARY KEY (""Debate_ID"") )', 'CREATE TABLE ""debate_people"" ( ""Debate_ID"" int, ""Affirmative"" int, ""Negative"" int, ""If_Affirmative_Win"" bool, PRIMARY KEY (""Debate_ID"",""Affirmative"",""Negative""), FOREIGN KEY (""Debate_ID"") REFERENCES `debate`(""Debate_ID""), FOREIGN KEY (""Affirmative"") REFERENCES `people`(""People_ID""), FOREIGN KEY (""Negative"") REFERENCES `people`(""People_ID"") )']"
722,customers_card_transactions,SELECT card_type_code FROM Customers_cards GROUP BY card_type_code ORDER BY count(*) DESC LIMIT 1,Return the code of the card type that is most common.,"['SELECT' 'card_type_code' 'FROM' 'Customers_cards' 'GROUP' 'BY'
 'card_type_code' 'ORDER' 'BY' 'count' '(' '*' ')' 'DESC' 'LIMIT' '1']","['select' 'card_type_code' 'from' 'customers_cards' 'group' 'by'
 'card_type_code' 'order' 'by' 'count' '(' '*' ')' 'desc' 'limit' 'value']","['Return' 'the' 'code' 'of' 'the' 'card' 'type' 'that' 'is' 'most'
 'common' '.']","['CREATE TABLE `Accounts` ( `account_id` INTEGER PRIMARY KEY, `customer_id` INTEGER NOT NULL, `account_name` VARCHAR(50), `other_account_details` VARCHAR(255) )', 'CREATE TABLE `Customers` ( `customer_id` INTEGER PRIMARY KEY, `customer_first_name` VARCHAR(20), `customer_last_name` VARCHAR(20), `customer_address` VARCHAR(255), `customer_phone` VARCHAR(255), `customer_email` VARCHAR(255), `other_customer_details` VARCHAR(255) )', 'CREATE TABLE `Customers_Cards` ( `card_id` INTEGER PRIMARY KEY, `customer_id` INTEGER NOT NULL, `card_type_code` VARCHAR(15) NOT NULL, `card_number` VARCHAR(80), `date_valid_from` DATETIME, `date_valid_to` DATETIME, `other_card_details` VARCHAR(255) )', 'CREATE TABLE `Financial_Transactions` ( `transaction_id` INTEGER NOT NULL , `previous_transaction_id` INTEGER, `account_id` INTEGER NOT NULL, `card_id` INTEGER NOT NULL, `transaction_type` VARCHAR(15) NOT NULL, `transaction_date` DATETIME, `transaction_amount` DOUBLE NULL, `transaction_comment` VARCHAR(255), `other_transaction_details` VARCHAR(255), FOREIGN KEY (`card_id` ) REFERENCES `Customers_Cards`(`card_id` ), FOREIGN KEY (`account_id` ) REFERENCES `Accounts`(`account_id` ) )']"
